"samples"	"LV1"	"LV2"
"20250402_PMA_tp24_000036_01_01.mzML"	-18.8140625267285	2.0687760229378
"20250402_PMA_tp24_000037_01_01.mzML"	-31.9499252739046	-10.2085403505982
"20250402_PMA_tp24_000038_01_02.mzML"	-17.4525047210175	-0.298312361889805
"20250402_PMA_tp24_000039_01_01.mzML"	-31.5427263434438	-5.85154288001876
"20250402_PMA_tp24_000040_01_01.mzML"	-29.4933875157247	3.02360129696364
"20250402_PMA_tp24_000041_01_01.mzML"	-27.1948771770884	-3.43192530268851
"20250402_PMA_tp24_000042_01_01.mzML"	-30.5080842890143	6.80991709280356
"20250402_PMA_tp24_000043_01_01.mzML"	-25.2303170653697	8.19164273694934
"20250402_PMA_tp24_000044_01_01.mzML"	-25.9102565489767	5.7374736285272
"20250402_PMA_tp24_000046_01_01.mzML"	-24.8243003608332	-3.30000059492729
